,mode,genres,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key
1887,1,nashville hip hop,0.1480166073414905,0.7738450500556173,240416.5609010011,0.6569327030033371,2.442902892102336e-05,0.1597640989988876,-5.736947330367073,0.1890485706340378,103.54714944382648,0.6164701334816464,52.30962180200223,11
1888,1,nashville indie,0.3466516666666666,0.5674583333333334,212373.8125,0.6435,2.7124166666666667e-05,0.2331416666666666,-6.729604166666667,0.04803125,132.1534375,0.4212916666666666,58.20833333333333,7
1889,1,nashville singer-songwriter,0.502957905844156,0.4952852272727272,236765.90844155845,0.5082096103896103,0.0065035128636363,0.2056335227272727,-9.126052272727271,0.065728262987013,122.65237678571422,0.3756612012987013,51.005519480519474,9
1890,1,nashville sound,0.6355524636550373,0.5446309650422169,167830.1468473492,0.3993586560179065,0.0695774756923182,0.1723881775064709,-11.931104179247797,0.045580267140967,115.53658438651314,0.5908261290458506,30.85808443688324,7
1891,0,native american,0.7719534388292865,0.3872651232825146,233890.47539996236,0.2199457980425372,0.4761124227166384,0.1387384396762658,-21.300133032185208,0.0629381187652926,102.36328885751928,0.4694859495576888,38.45028232636928,6
1892,1,native american contemporary,0.3822844444444446,0.5965722222222224,199273.25,0.5796111111111112,0.0049785351111111,0.1593188888888889,-10.211411111111111,0.0551022222222222,113.66379444444443,0.6930694444444444,34.32777777777778,11
1893,0,native american flute,0.9777054924242422,0.2809611742424243,288897.93844696967,0.1161741382575757,0.5519985606060606,0.1446571022727273,-23.80252367424243,0.0771966856060605,89.16173011363638,0.4997335227272727,39.4810606060606,6
1894,1,native american hip hop,0.135,0.6509999999999999,189531.0,0.8759999999999999,0.0,0.224,-7.033,0.357,76.166,0.736,48.0,8
1895,0,native american spiritual,0.994,0.295,123293.0,0.00839,0.6679999999999999,0.119,-28.111,0.0697,171.604,0.407,33.0,10
1896,0,navajo,0.9104949494949494,0.4712828282828282,112248.46464646464,0.1973721717171716,0.234681515151515,0.1486792929292929,-17.795449494949494,0.0929348484848485,130.302297979798,0.4769373737373738,14.207070707070706,11
1897,0,nederlandse hardstyle,0.0762,0.341,237818.0,0.994,0.0,0.352,0.06,0.374,157.607,0.22,0.0,1
1898,1,nederpop,0.2335782588888889,0.5251688888888888,218427.7788888889,0.6045016666666667,0.0185298860555555,0.1682291111111111,-9.23118,0.0380181111111111,122.15431,0.5606533333333333,43.34499999999999,7
1899,1,neo classical metal,0.0770103284650401,0.4115569650451889,304074.3688946855,0.8156677159587918,0.2728863388590478,0.2382278235405805,-7.958238893311709,0.0686342453191803,135.32112348455252,0.3965487709240793,43.367625000558434,9
1900,0,neo kyma,0.82,0.5660000000000001,158640.0,0.3049999999999999,0.8049999999999999,0.1205,-14.316,0.03595,118.227,0.4775,28.0,7
1901,1,neo mellow,0.3844574598672573,0.5406915969786726,231873.46594486453,0.5465389448567387,0.0288761165123793,0.1606242541073119,-8.346804279437446,0.0483473122671924,122.1692328669216,0.4479259061681337,52.95388011792162,0
1902,0,neo r&b,0.3429492666666667,0.6505933333333335,269447.3633333333,0.5388500000000002,0.0127146528999999,0.1833483333333333,-9.585630000000002,0.1895556666666666,105.51514333333334,0.489542,46.41666666666666,11
1903,1,neo soul,0.2893876882331854,0.6564879000811896,264500.78434264514,0.5474153596195749,0.0108555478604884,0.1674497754216211,-8.202191825378236,0.1002145528963968,113.00094081655509,0.527623687537789,47.56996170594458,11
1904,1,neo-classical,0.7990216354723709,0.4174434173669465,233915.35859116376,0.2360459450598421,0.7333185371091168,0.1330156770435447,-19.43666022727273,0.0608114734530175,107.79813548192008,0.2568149678507768,51.3761236312707,1
1905,0,neo-kraut,0.65,0.34,442573.0,0.489,0.523,0.11,-9.871,0.0489,140.359,0.628,0.0,6
1906,1,neo-pagan,0.557836,0.4628,235328.0,0.342,0.115238004,0.09846,-15.5054,0.03998,93.8506,0.29924,38.6,6
1907,1,neo-progressive,0.2780120052083333,0.3554947916666666,352656.94270833343,0.4913010416666666,0.1583870208333333,0.1594270833333333,-12.481921875,0.0461083333333333,113.24943229166668,0.3589177083333333,36.72395833333333,4
1908,1,neo-psychedelic,0.207887342026655,0.4832845499778785,261000.54119867735,0.6767677877589483,0.2549701972284806,0.1892068475851056,-7.279730918939621,0.0551904944737119,123.38077046050556,0.5082906133952891,52.48424744287653,11
1909,1,neo-rockabilly,0.5109708333333333,0.5569333333333333,160822.42083333337,0.7620208333333334,0.0377555380833333,0.414675,-7.4775874999999985,0.0601733333333333,141.03491666666667,0.8508875,24.1125,9
